Timezone (use this),label,utc
Asia/Taipei,Asia/Taipei(UTC+08:00),UTC+08:00
Asia/Choibalsan,Asia/Choibalsan(UTC+08:00),UTC+08:00
Asia/Ulaanbaatar,Asia/Ulaanbaatar(UTC+08:00),UTC+08:00
Asia/Irkutsk,Asia/Irkutsk(UTC+08:00),UTC+08:00
Asia/Dili,Asia/Dili(UTC+09:00),UTC+09:00
Asia/Jayapura,Asia/Jayapura(UTC+09:00),UTC+09:00
Asia/Tokyo,Asia/Tokyo(UTC+09:00),UTC+09:00
Etc/GMT-9,Etc/GMT-9(UTC+09:00),UTC+09:00
Pacific/Palau,Pacific/Palau(UTC+09:00),UTC+09:00
Asia/Pyongyang,Asia/Pyongyang(UTC+09:00),UTC+09:00
Asia/Seoul,Asia/Seoul(UTC+09:00),UTC+09:00
Australia/Adelaide,Australia/Adelaide(UTC+09:30),UTC+09:30
Australia/Broken_Hill,Australia/Broken_Hill(UTC+09:30),UTC+09:30
Australia/Darwin,Australia/Darwin(UTC+09:30),UTC+09:30
Australia/Brisbane,Australia/Brisbane(UTC+10:00),UTC+10:00
Australia/Lindeman,Australia/Lindeman(UTC+10:00),UTC+10:00
Australia/Melbourne,Australia/Melbourne(UTC+10:00),UTC+10:00
Australia/Sydney,Australia/Sydney(UTC+10:00),UTC+10:00
Antarctica/DumontDUrville,Antarctica/DumontDUrville(UTC+10:00),UTC+10:00
Etc/GMT-10,Etc/GMT-10(UTC+10:00),UTC+10:00
Pacific/Guam,Pacific/Guam(UTC+10:00),UTC+10:00
Pacific/Port_Moresby,Pacific/Port_Moresby(UTC+10:00),UTC+10:00
Pacific/Saipan,Pacific/Saipan(UTC+10:00),UTC+10:00
Pacific/Truk,Pacific/Truk(UTC+10:00),UTC+10:00
Australia/Currie,Australia/Currie(UTC+10:00),UTC+10:00
Australia/Hobart,Australia/Hobart(UTC+10:00),UTC+10:00
Asia/Chita,Asia/Chita(UTC+09:00),UTC+09:00
Asia/Khandyga,Asia/Khandyga(UTC+09:00),UTC+09:00
Asia/Yakutsk,Asia/Yakutsk(UTC+09:00),UTC+09:00
Antarctica/Macquarie,Antarctica/Macquarie(UTC+11:00),UTC+11:00
Etc/GMT-11,Etc/GMT-11(UTC+11:00),UTC+11:00
Pacific/Efate,Pacific/Efate(UTC+11:00),UTC+11:00
Pacific/Guadalcanal,Pacific/Guadalcanal(UTC+11:00),UTC+11:00
Pacific/Kosrae,Pacific/Kosrae(UTC+11:00),UTC+11:00
Pacific/Noumea,Pacific/Noumea(UTC+11:00),UTC+11:00
Pacific/Ponape,Pacific/Ponape(UTC+11:00),UTC+11:00
Asia/Sakhalin,Asia/Sakhalin(UTC+11:00),UTC+11:00
Asia/Ust-Nera,Asia/Ust-Nera(UTC+11:00),UTC+11:00
Asia/Vladivostok,Asia/Vladivostok(UTC+11:00),UTC+11:00
Antarctica/McMurdo,Antarctica/McMurdo(UTC+12:00),UTC+12:00
Pacific/Auckland,Pacific/Auckland(UTC+12:00),UTC+12:00
Etc/GMT-12,Etc/GMT-12(UTC+12:00),UTC+12:00
Pacific/Funafuti,Pacific/Funafuti(UTC+12:00),UTC+12:00
Pacific/Kwajalein,Pacific/Kwajalein(UTC+12:00),UTC+12:00
Pacific/Majuro,Pacific/Majuro(UTC+12:00),UTC+12:00
Pacific/Nauru,Pacific/Nauru(UTC+12:00),UTC+12:00
Pacific/Tarawa,Pacific/Tarawa(UTC+12:00),UTC+12:00
Pacific/Wake,Pacific/Wake(UTC+12:00),UTC+12:00
Pacific/Wallis,Pacific/Wallis(UTC+12:00),UTC+12:00
Pacific/Fiji,Pacific/Fiji(UTC+12:00),UTC+12:00
Asia/Anadyr,Asia/Anadyr(UTC+12:00),UTC+12:00
Asia/Kamchatka,Asia/Kamchatka(UTC+12:00),UTC+12:00
Asia/Magadan,Asia/Magadan(UTC+12:00),UTC+12:00
Asia/Srednekolymsk,Asia/Srednekolymsk(UTC+12:00),UTC+12:00
Asia/Kamchatka,Asia/Kamchatka(UTC+12:00),UTC+12:00
Etc/GMT-13,Etc/GMT-13(UTC+13:00),UTC+13:00
Pacific/Enderbury,Pacific/Enderbury(UTC+13:00),UTC+13:00
Pacific/Fakaofo,Pacific/Fakaofo(UTC+13:00),UTC+13:00
Pacific/Tongatapu,Pacific/Tongatapu(UTC+13:00),UTC+13:00
Pacific/Apia,Pacific/Apia(UTC+13:00),UTC+13:00
